artist.id,artist.name,id
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,0QZ5yyl6B6utIWkxeBDxQN
3uwAm6vQy7kWPS2bciKWx9,girl in red,1BYZxKSf0aTxp8ZFoeyM3d
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,1JDhNQ0oOT7XpclZn3aQ8F
5LHRHt1k9lMyONurDHEdrp,Tyga,1JDhNQ0oOT7XpclZn3aQ8F
0VRj0yCOv2FXJNP47XQnx5,Quavo,1JDhNQ0oOT7XpclZn3aQ8F
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,2TfSHkHiFO4gRztVIkggkE
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,3Fj47GNK2kUF0uaEDgXLaD
5Berubt6ysOy2LCMyqhmXP,YFN Lucci,4GurWpxvH3NoWz9f9wirPq
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,4JB0EAT4BkLShTyTt50FmO
6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,4JB0EAT4BkLShTyTt50FmO
5he5w2lnU9x7JFhnwcekXX,Skrillex,4JB0EAT4BkLShTyTt50FmO
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,4JB0EAT4BkLShTyTt50FmO
30e8DmahrEamvLbFRPdWmk,Justin Moore,4lSfhHd5Knwl8yQw2cVjAD
4qIVPF0s71ZYW3qzhu5GkF,Kina,58wyJLv6yH1La9NIZPl3ne
7KHA7OOevgTDFhlym0oEyP,Adriana Proenza,58wyJLv6yH1La9NIZPl3ne
6s22t5Y3prQHyaHWUN1R1C,AJR,5DZwnLxHjWTZaz9jOpRhxb
4LLpKhyESsyAXpc4laK94U,Mac Miller,6GnhWMhgJb7uyiiPEiEkDA
360IAlyVv4PCEVjgyMZrxK,Miguel,6GnhWMhgJb7uyiiPEiEkDA
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,6Ius4TC0L3cN74HT7ENE6e
7tYKF4w9nC0nq9CsPZTHyP,SZA,6gU9OKjOE7ghfEd55oRO57
